Номер вопроса,Вопрос,Шкала,Оценка,Количество,Процент
D1_4,"М. Гостева, (темы «Стратегическое планирование: уроки из мира спорта для управленцев в сфере культуры», «Вдохновение и действие: зарядка для управленцев»)",Понятное изложение,Нормально,25,0.23
D1_4,"М. Гостева, (темы «Стратегическое планирование: уроки из мира спорта для управленцев в сфере культуры», «Вдохновение и действие: зарядка для управленцев»)",Понятное изложение,Требует улучшений,13,0.12
D1_4,"М. Гостева, (темы «Стратегическое планирование: уроки из мира спорта для управленцев в сфере культуры», «Вдохновение и действие: зарядка для управленцев»)",Практическая применимость полученной информации,Идеально,58,0.52
D1_4,"М. Гостева, (темы «Стратегическое планирование: уроки из мира спорта для управленцев в сфере культуры», «Вдохновение и действие: зарядка для управленцев»)",Практическая применимость полученной информации,Нормально,32,0.29
D1_4,"М. Гостева, (темы «Стратегическое планирование: уроки из мира спорта для управленцев в сфере культуры», «Вдохновение и действие: зарядка для управленцев»)",Практическая применимость полученной информации,Требует улучшений,21,0.19
D1_4,"Д. Воронин, (тема «Творчество как способ трансляции патриотических ценностей»)",Эмоциональное впечатление,Идеально,105,0.86
D1_4,"Д. Воронин, (тема «Творчество как способ трансляции патриотических ценностей»)",Эмоциональное впечатление,Нормально,15,0.12
D1_4,"Д. Воронин, (тема «Творчество как способ трансляции патриотических ценностей»)",Эмоциональное впечатление,Требует улучшений,3,0.02
D1_4,"Д. Воронин, (тема «Творчество как способ трансляции патриотических ценностей»)",Интересный материал и подача,Идеально,92,0.82
D1_4,"Д. Воронин, (тема «Творчество как способ трансляции патриотических ценностей»)",Интересный материал и подача,Нормально,16,0.14
D1_4,"Д. Воронин, (тема «Творчество как способ трансляции патриотических ценностей»)",Интересный материал и подача,Требует улучшений,4,0.04
D1_4,"Д. Воронин, (тема «Творчество как способ трансляции патриотических ценностей»)",Понятное изложение,Идеально,95,0.84
D1_4,"Д. Воронин, (тема «Творчество как способ трансляции патриотических ценностей»)",Понятное изложение,Нормально,13,0.12
D1_4,"Д. Воронин, (тема «Творчество как способ трансляции патриотических ценностей»)",Понятное изложение,Требует улучшений,4,0.04
D1_4,"Д. Воронин, (тема «Творчество как способ трансляции патриотических ценностей»)",Практическая применимость полученной информации,Идеально,79,0.71
D1_4,"Д. Воронин, (тема «Творчество как способ трансляции патриотических ценностей»)",Практическая применимость полученной информации,Нормально,25,0.22
D1_4,"Д. Воронин, (тема «Творчество как способ трансляции патриотических ценностей»)",Практическая применимость полученной информации,Требует улучшений,8,0.07
D1_5,С какими модераторами вы работали? ,С какими модераторами вы работали? ,Боярков Роман Леонидович,25,0.2
D1_5,С какими модераторами вы работали? ,С какими модераторами вы работали? ,Вырвич Евгения Викторовна,23,0.184
D1_5,С какими модераторами вы работали? ,С какими модераторами вы работали? ,Доленко Арина Евгеньевна,26,0.208
D1_5,С какими модераторами вы работали? ,С какими модераторами вы работали? ,Медведева Наталья Сергеевна,25,0.2
D1_5,С какими модераторами вы работали? ,С какими модераторами вы работали? ,Сурков Дмитрий Александрович,26,0.208
D1_6,Оцените работу модератора Вырвич Евгении Викторовны ,Эмоциональное впечатление,Идеально,22,1.0
D1_6,Оцените работу модератора Вырвич Евгении Викторовны ,Качество организации,Идеально,22,1.0
D1_6,Оцените работу модератора Вырвич Евгении Викторовны ,Практическая ценность,Идеально,21,0.95
D1_6,Оцените работу модератора Вырвич Евгении Викторовны ,Практическая ценность,Нормально,1,0.05
D1_7,Оцените работу модератора Доленко Арины Евгеньевны ,Эмоциональное впечатление,Идеально,20,0.8
D1_7,Оцените работу модератора Доленко Арины Евгеньевны ,Эмоциональное впечатление,Нормально,4,0.16
D1_7,Оцените работу модератора Доленко Арины Евгеньевны ,Эмоциональное впечатление,Требует улучшений,1,0.04
D1_7,Оцените работу модератора Доленко Арины Евгеньевны ,Качество организации,Идеально,20,0.8
D1_7,Оцените работу модератора Доленко Арины Евгеньевны ,Качество организации,Нормально,3,0.12
D1_7,Оцените работу модератора Доленко Арины Евгеньевны ,Качество организации,Требует улучшений,2,0.08
D1_7,Оцените работу модератора Доленко Арины Евгеньевны ,Практическая ценность,Идеально,22,0.88
D1_7,Оцените работу модератора Доленко Арины Евгеньевны ,Практическая ценность,Нормально,2,0.08
D1_7,Оцените работу модератора Доленко Арины Евгеньевны ,Практическая ценность,Требует улучшений,1,0.04
D1_8,Оцените работу модератора Суркова Дмитрия Александровича ,Эмоциональное впечатление,Идеально,25,1.0
D1_8,Оцените работу модератора Суркова Дмитрия Александровича ,Качество организации,Идеально,24,0.96
D1_8,Оцените работу модератора Суркова Дмитрия Александровича ,Качество организации,Нормально,1,0.04
D1_8,Оцените работу модератора Суркова Дмитрия Александровича ,Практическая ценность,Идеально,23,0.92
D1_8,Оцените работу модератора Суркова Дмитрия Александровича ,Практическая ценность,Нормально,2,0.08
D1_9,Оцените работу модератора Медведевой Натальи Сергеевны ,Эмоциональное впечатление,Идеально,22,0.92
D1_9,Оцените работу модератора Медведевой Натальи Сергеевны ,Эмоциональное впечатление,Нормально,2,0.08
D1_9,Оцените работу модератора Медведевой Натальи Сергеевны ,Качество организации,Идеально,23,0.96
D1_9,Оцените работу модератора Медведевой Натальи Сергеевны ,Качество организации,Нормально,1,0.04
D1_9,Оцените работу модератора Медведевой Натальи Сергеевны ,Практическая ценность,Идеально,23,0.96
D1_9,Оцените работу модератора Медведевой Натальи Сергеевны ,Практическая ценность,Требует улучшений,1,0.04
D1_10,Оцените работу модератора Бояркова Романа Леонидовича ,Эмоциональное впечатление,Идеально,22,0.96
D1_10,Оцените работу модератора Бояркова Романа Леонидовича ,Эмоциональное впечатление,Нормально,1,0.04
D1_10,Оцените работу модератора Бояркова Романа Леонидовича ,Качество организации,Идеально,23,1.0
D1_10,Оцените работу модератора Бояркова Романа Леонидовича ,Практическая ценность,Идеально,22,0.96
D1_10,Оцените работу модератора Бояркова Романа Леонидовича ,Практическая ценность,Нормально,1,0.04
D1_11,Оцените работу ведущего модератора Войко Романа ,Эмоциональное впечатление,Идеально,116,0.94
D1_11,Оцените работу ведущего модератора Войко Романа ,Эмоциональное впечатление,Нормально,6,0.05
D1_11,Оцените работу ведущего модератора Войко Романа ,Эмоциональное впечатление,Требует улучшений,1,0.01
D1_11,Оцените работу ведущего модератора Войко Романа ,Качество организации,Идеально,117,0.95
D1_11,Оцените работу ведущего модератора Войко Романа ,Качество организации,Нормально,5,0.04
D1_11,Оцените работу ведущего модератора Войко Романа ,Качество организации,Требует улучшений,1,0.01
D1_11,Оцените работу ведущего модератора Войко Романа ,Практическая ценность,Идеально,110,0.89
D1_11,Оцените работу ведущего модератора Войко Романа ,Практическая ценность,Нормально,13,0.11
D1_12,"Оцените культурно-просветительские форматы и мероприятия, включенные в программу ",Интерактивная экскурсия по площадке Академии «Меганом»,Идеально,63,0.63
D1_12,"Оцените культурно-просветительские форматы и мероприятия, включенные в программу ",Интерактивная экскурсия по площадке Академии «Меганом»,Нормально,14,0.14
D1_12,"Оцените культурно-просветительские форматы и мероприятия, включенные в программу ",Интерактивная экскурсия по площадке Академии «Меганом»,Требует улучшений,23,0.23
D1_12,"Оцените культурно-просветительские форматы и мероприятия, включенные в программу ",Открытие программы «Отдать швартовы! Поднять паруса!» ,Идеально,92,0.75
D1_12,"Оцените культурно-просветительские форматы и мероприятия, включенные в программу ",Открытие программы «Отдать швартовы! Поднять паруса!» ,Нормально,19,0.16
D1_12,"Оцените культурно-просветительские форматы и мероприятия, включенные в программу ",Открытие программы «Отдать швартовы! Поднять паруса!» ,Требует улучшений,11,0.09
D1_12,"Оцените культурно-просветительские форматы и мероприятия, включенные в программу ",Командно-кулинарная игра «Аврал на камбузе»,Идеально,79,0.65
D1_12,"Оцените культурно-просветительские форматы и мероприятия, включенные в программу ",Командно-кулинарная игра «Аврал на камбузе»,Нормально,23,0.19
D1_12,"Оцените культурно-просветительские форматы и мероприятия, включенные в программу ",Командно-кулинарная игра «Аврал на камбузе»,Требует улучшений,19,0.16
D1_13,Насколько полученные знания и навыки применимы в вашей работе для внедрения проектов изменений и повышения качества управленческой деятельности? ,Насколько полученные знания и навыки применимы в вашей работе для внедрения проектов изменений и повышения качества управленческой деятельности? ,Идеально,68,0.55
D1_13,Насколько полученные знания и навыки применимы в вашей работе для внедрения проектов изменений и повышения качества управленческой деятельности? ,Насколько полученные знания и навыки применимы в вашей работе для внедрения проектов изменений и повышения качества управленческой деятельности? ,Нормально,43,0.34
D1_13,Насколько полученные знания и навыки применимы в вашей работе для внедрения проектов изменений и повышения качества управленческой деятельности? ,Насколько полученные знания и навыки применимы в вашей работе для внедрения проектов изменений и повышения качества управленческой деятельности? ,Требует улучшений,14,0.11
D1_14,"Насколько вероятно, что вы посоветуете программу «Капитаны культуры» Академии «Меганом» своим знакомым? ","Насколько вероятно, что вы посоветуете программу «Капитаны культуры» Академии «Меганом» своим знакомым? ",7,4,0.032
D1_14,"Насколько вероятно, что вы посоветуете программу «Капитаны культуры» Академии «Меганом» своим знакомым? ","Насколько вероятно, что вы посоветуете программу «Капитаны культуры» Академии «Меганом» своим знакомым? ",8,3,0.024
D1_14,"Насколько вероятно, что вы посоветуете программу «Капитаны культуры» Академии «Меганом» своим знакомым? ","Насколько вероятно, что вы посоветуете программу «Капитаны культуры» Академии «Меганом» своим знакомым? ",9,8,0.064
D1_14,"Насколько вероятно, что вы посоветуете программу «Капитаны культуры» Академии «Меганом» своим знакомым? ","Насколько вероятно, что вы посоветуете программу «Капитаны культуры» Академии «Меганом» своим знакомым? ",10,110,0.88
D1_15,Организационные вопросы,Оценка,Идеально,101,0.82
D1_15,Организационные вопросы,Оценка,Нормально,20,0.16
D1_15,Организационные вопросы,Оценка,Требует улучшений,2,0.02
D1_15,Содержание программы,Оценка,Идеально,112,0.91
D1_15,Содержание программы,Оценка,Нормально,10,0.08
D1_15,Содержание программы,Оценка,Требует улучшений,1,0.01
D1_15,Эксперты программы,Оценка,Идеально,114,0.92
D1_15,Эксперты программы,Оценка,Нормально,8,0.07
D1_15,Эксперты программы,Оценка,Требует улучшений,1,0.01
D1_15,Культурно-просветительская программа,Оценка,Идеально,87,0.7
D1_15,Культурно-просветительская программа,Оценка,Нормально,28,0.23
D1_15,Культурно-просветительская программа,Оценка,Требует улучшений,8,0.07
D1_16,Организационные вопросы,Оценка,Идеально,102,0.83
D1_16,Организационные вопросы,Оценка,Нормально,17,0.14
D1_16,Организационные вопросы,Оценка,Требует улучшений,4,0.03
D1_16,Содержание программы,Оценка,Идеально,103,0.84
D1_16,Содержание программы,Оценка,Нормально,17,0.14
D1_16,Содержание программы,Оценка,Требует улучшений,3,0.02
D1_16,Эксперты программы,Оценка,Идеально,105,0.85
D1_16,Эксперты программы,Оценка,Нормально,16,0.13
D1_16,Эксперты программы,Оценка,Требует улучшений,2,0.02
D1_16,Культурно-просветительская программа,Оценка,Идеально,70,0.57
D1_16,Культурно-просветительская программа,Оценка,Нормально,33,0.27
D1_16,Культурно-просветительская программа,Оценка,Требует улучшений,20,0.16
D1_17,Насколько полезен опыт управления парусным катамараном для осознания себя как лидера / руководителя / исполнителя? ,Насколько полезен опыт управления парусным катамараном для осознания себя как лидера / руководителя / исполнителя? ,Идеально,67,0.54
D1_17,Насколько полезен опыт управления парусным катамараном для осознания себя как лидера / руководителя / исполнителя? ,Насколько полезен опыт управления парусным катамараном для осознания себя как лидера / руководителя / исполнителя? ,Нормально,35,0.28
D1_17,Насколько полезен опыт управления парусным катамараном для осознания себя как лидера / руководителя / исполнителя? ,Насколько полезен опыт управления парусным катамараном для осознания себя как лидера / руководителя / исполнителя? ,Требует улучшений,23,0.18
D1_18,Насколько опыт управления парусным катамараном способствовал установлению профессиональных связей? ,Насколько опыт управления парусным катамараном способствовал установлению профессиональных связей? ,Идеально,59,0.47
D1_18,Насколько опыт управления парусным катамараном способствовал установлению профессиональных связей? ,Насколько опыт управления парусным катамараном способствовал установлению профессиональных связей? ,Нормально,36,0.29
D1_18,Насколько опыт управления парусным катамараном способствовал установлению профессиональных связей? ,Насколько опыт управления парусным катамараном способствовал установлению профессиональных связей? ,Требует улучшений,30,0.24
D1_19,Знали ли вы об арт-кластере «Таврида» до участия в программе «Капитаны культуры»? ,Знали ли вы об арт-кластере «Таврида» до участия в программе «Капитаны культуры»? ,"Нет, не знал",16,0.128
D1_19,Знали ли вы об арт-кластере «Таврида» до участия в программе «Капитаны культуры»? ,Знали ли вы об арт-кластере «Таврида» до участия в программе «Капитаны культуры»? ,"Слышал, но сам участвую впервые",89,0.7120000000000001
D1_19,Знали ли вы об арт-кластере «Таврида» до участия в программе «Капитаны культуры»? ,Знали ли вы об арт-кластере «Таврида» до участия в программе «Капитаны культуры»? ,Уже участвовал в мероприятиях проекта,20,0.16
D1_20,Оцените удобство локаций Академии ,Жилые корпуса,Идеально,119,0.97
D1_20,Оцените удобство локаций Академии ,Жилые корпуса,Нормально,3,0.02
D1_20,Оцените удобство локаций Академии ,Жилые корпуса,Требует улучшений,1,0.01
D1_20,Оцените удобство локаций Академии ,Гостевой центр,Идеально,116,0.95
D1_20,Оцените удобство локаций Академии ,Гостевой центр,Нормально,4,0.03
D1_20,Оцените удобство локаций Академии ,Гостевой центр,Требует улучшений,3,0.02
D1_20,Оцените удобство локаций Академии ,Бистро,Идеально,111,0.9
D1_20,Оцените удобство локаций Академии ,Бистро,Нормально,7,0.06
D1_20,Оцените удобство локаций Академии ,Бистро,Требует улучшений,5,0.04
D1_20,Оцените удобство локаций Академии ,Творческие мастерские,Идеально,115,0.9400000000000001
D1_20,Оцените удобство локаций Академии ,Творческие мастерские,Нормально,3,0.02
D1_20,Оцените удобство локаций Академии ,Творческие мастерские,Требует улучшений,5,0.04
D1_20,Оцените удобство локаций Академии ,Территория Академии в целом,Идеально,110,0.9
D1_20,Оцените удобство локаций Академии ,Территория Академии в целом,Нормально,9,0.07
D1_20,Оцените удобство локаций Академии ,Территория Академии в целом,Требует улучшений,4,0.03
D1_21,Оцените сервисы Академии ,Логистика,Идеально,109,0.89
D1_21,Оцените сервисы Академии ,Логистика,Нормально,10,0.08
D1_21,Оцените сервисы Академии ,Логистика,Требует улучшений,4,0.03
D1_21,Оцените сервисы Академии ,Служба безопасности,Идеально,116,0.94
D1_21,Оцените сервисы Академии ,Служба безопасности,Нормально,5,0.04
D1_21,Оцените сервисы Академии ,Служба безопасности,Требует улучшений,2,0.02
D1_21,Оцените сервисы Академии ,Размещение,Идеально,116,0.94
D1_21,Оцените сервисы Академии ,Размещение,Нормально,5,0.04
D1_21,Оцените сервисы Академии ,Размещение,Требует улучшений,2,0.02
D1_21,Оцените сервисы Академии ,Информационная стойка в гостевом центре ,Идеально,112,0.91
D1_21,Оцените сервисы Академии ,Информационная стойка в гостевом центре ,Нормально,7,0.06
D1_21,Оцените сервисы Академии ,Информационная стойка в гостевом центре ,Требует улучшений,4,0.03
D1_21,Оцените сервисы Академии ,Питание в бистро,Идеально,96,0.78
D1_21,Оцените сервисы Академии ,Питание в бистро,Нормально,22,0.18
D1_21,Оцените сервисы Академии ,Питание в бистро,Требует улучшений,5,0.04
D1_22,Совпали ли ваши ожидания от Академии «Меганом» с реальностью? ,Совпали ли ваши ожидания от Академии «Меганом» с реальностью? ,Ожидания совпали с реальностью,44,0.3826
D1_22,Совпали ли ваши ожидания от Академии «Меганом» с реальностью? ,Совпали ли ваши ожидания от Академии «Меганом» с реальностью? ,Реальность превзошла ожидания,71,0.6174000000000001
